FID	IID	family
SH00486	SH00486	GS2-026
SH00487	SH00487	GS2-026
SH00489	SH00489	GS2-026
SH00490	SH00490	GS2-026
SH00492	SH00492	GS2-026
SH00496	SH00496	GS2-026
SH00497	SH00497	GS2-026
SH00498	SH00498	GS2-026
SH00499	SH00499	GS2-026
SH00500	SH00500	GS2-026
SH00501	SH00501	GS2-026
SH00502	SH00502	GS2-026
SH00503	SH00503	GS2-026
SH00504	SH00504	GS2-026
SH00506	SH00506	GS2-026
SH00508	SH00508	GS2-026
SH00509	SH00509	GS2-026
SH00510	SH00510	GS2-026
SH00513	SH00513	GS2-026
SH00515	SH00515	GS2-026
SH00516	SH00516	GS2-026
SH00517	SH00517	GS2-026
SH00518	SH00518	GS2-026
SH00519	SH00519	GS2-026
SH00520	SH00520	GS2-026
SH00521	SH00521	GS2-026
SH00523	SH00523	GS2-026
SH00524	SH00524	GS2-026
SH00525	SH00525	GS2-026
SH00526	SH00526	GS2-026
SH00527	SH00527	GS2-026
SH00528	SH00528	GS2-026
SH00530	SH00530	GS2-026
SH00531	SH00531	GS2-026
SH00532	SH00532	GS2-026
SH00533	SH00533	GS2-026
SH00534	SH00534	GS2-026
SH00535	SH00535	GS2-026
SH00537	SH00537	GS2-026
SH00539	SH00539	GS2-026
SH00540	SH00540	GS2-026
SH00541	SH00541	GS2-026
SH00542	SH00542	GS2-026
SH00543	SH00543	GS2-026
SH00545	SH00545	GS2-026
SH00546	SH00546	GS2-026
SH00547	SH00547	GS2-026
SH00549	SH00549	GS2-026
SH00550	SH00550	GS2-026
SH00551	SH00551	GS2-026
SH00552	SH00552	GS2-026
SH00553	SH00553	GS2-026
SH00554	SH00554	GS2-026
SH00555	SH00555	GS2-026
SH00556	SH00556	GS2-026
SH00557	SH00557	GS2-026
SH00558	SH00558	GS2-026
SH00559	SH00559	GS2-026
SH00560	SH00560	GS2-026
SH00561	SH00561	GS2-026
SH00562	SH00562	GS2-026
SH00563	SH00563	GS2-026
SH00564	SH00564	GS2-026
SH00566	SH00566	GS2-026
SH00567	SH00567	GS2-026
SH00568	SH00568	GS2-026
SH00569	SH00569	GS2-026
SH00570	SH00570	GS2-026
SH00572	SH00572	GS2-026
SH00573	SH00573	GS2-026
SH00574	SH00574	GS2-026
SH00575	SH00575	GS2-026
SH00576	SH00576	GS2-026
SH00577	SH00577	GS2-026
SH00578	SH00578	GS2-026
SH00579	SH00579	GS2-026
SH00580	SH00580	GS2-026
SH00585	SH00585	GS2-026
SH00586	SH00586	GS2-026
SH00587	SH00587	GS1-015
SH00588	SH00588	GS1-056
SH00590	SH00590	GS2-026
SH00591	SH00591	GS2-026
SH00592	SH00592	GS2-026
SH00595	SH00595	GS2-026
SH00596	SH00596	GS2-026
SH00597	SH00597	GS2-026
SH00598	SH00598	GS2-026
SH00603	SH00603	GS2-026
SH00604	SH00604	GS2-026
SH00606	SH00606	GS2-026
SH00607	SH00607	GS2-026
SH00608	SH00608	GS2-026
SH00609	SH00609	GS2-026
SH00615	SH00615	GS2-026
SH00616	SH00616	GS2-026
SH00618	SH00618	GS2-026
SH00619	SH00619	GS2-026
SH00620	SH00620	GS2-026
SH00621	SH00621	GS2-026
SH00622	SH00622	GS2-026
SH00626	SH00626	GS2-026
SH00628	SH00628	GS2-026
SH00630	SH00630	GS2-026
SH00631	SH00631	GS2-026
SH00632	SH00632	GS2-026
SH00633	SH00633	GS2-026
SH00635	SH00635	GS2-026
SH00637	SH00637	GS2-026
SH00638	SH00638	GS2-026
SH00639	SH00639	GS2-026
SH00640	SH00640	GS2-026
SH00641	SH00641	GS2-026
SH00642	SH00642	GS2-026
SH00643	SH00643	GS2-026
SH00644	SH00644	GS2-026
SH00645	SH00645	GS2-026
SH00647	SH00647	GS2-026
SH00650	SH00650	GS2-026
SH00651	SH00651	GS2-026
SH00652	SH00652	GS2-026
SH00653	SH00653	GS2-026
SH00654	SH00654	GS2-026
SH00655	SH00655	GS2-026
SH00657	SH00657	GS2-026
SH00658	SH00658	GS2-027
SH00659	SH00659	GS2-026
SH00660	SH00660	GS2-026
SH00661	SH00661	GS2-026
SH00662	SH00662	GS2-026
SH00670	SH00670	GS1-001
SH00671	SH00671	GS1-002
SH00672	SH00672	GS1-003
SH00673	SH00673	GS1-004
SH00674	SH00674	GS1-005
SH00676	SH00676	GS1-067
SH00679	SH00679	GS1-010
SH00680	SH00680	GS1-012
SH00682	SH00682	GS1-012
SH00683	SH00683	GS1-014
SH00684	SH00684	GS1-015
SH00685	SH00685	GS1-016
SH00686	SH00686	GS1-017
SH00687	SH00687	GS1-018
SH00688	SH00688	GS1-019
SH00689	SH00689	GS1-020
SH00690	SH00690	GS1-022
SH00691	SH00691	GS1-023
SH00692	SH00692	GS1-024
SH00693	SH00693	GS1-025
SH00694	SH00694	GS1-026
SH00695	SH00695	GS1-027
SH00696	SH00696	GS1-028
SH00697	SH00697	GS1-029
SH00698	SH00698	GS1-030
SH00699	SH00699	GS1-031
SH00700	SH00700	GS1-032
SH00701	SH00701	GS1-033
SH00702	SH00702	GS1-034
SH00703	SH00703	GS1-035
SH00704	SH00704	GS1-036
SH00705	SH00705	GS1-037
SH00706	SH00706	GS1-038
SH00707	SH00707	GS1-039
SH00708	SH00708	GS1-040
SH00709	SH00709	GS1-041
SH00710	SH00710	GS1-042
SH00711	SH00711	GS1-043
SH00712	SH00712	GS1-044
SH00713	SH00713	GS1-045
SH00714	SH00714	GS1-046
SH00715	SH00715	GS1-048
SH00716	SH00716	GS1-049
SH00717	SH00717	GS1-050
SH00718	SH00718	GS1-051
SH00719	SH00719	GS1-052
SH00720	SH00720	GS1-053
SH00721	SH00721	GS1-054
SH00722	SH00722	GS1-055
SH00723	SH00723	GS1-056
SH00724	SH00724	GS1-057-2
SH00725	SH00725	GS1-058
SH00726	SH00726	GS1-059
SH00727	SH00727	GS1-060
SH00728	SH00728	GS1-061
SH00729	SH00729	GS1-007
SH00730	SH00730	GS1-063
SH00731	SH00731	GS1-064
